network,subset_size,replicate,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,z,p_upper,n_null_valid,n_attempts
2class_fittedhet_lu,8,1,1,28,4,16.0,0.2590246521996409,-2.9215560535922336e-05,0.25899543663910496,0.2589954360473263,-1.9808248046497083,1.0,10,10
2class_fittedhet_lu,8,1,5,6,4,16.0,0.07684726302028733,-1.1102230246251565e-16,0.07684726302028722,0.07684726301144067,-2.3731234364478575,1.0,10,10
2class_fittedhet_lu,8,1,5,17,4,16.0,0.07684726302028733,-1.1102230246251565e-16,0.07684726302028722,0.07684726301144067,-2.0033222487219895,1.0,10,10
2class_fittedhet_lu,8,1,5,21,4,16.0,0.4757402364708474,0.006161645143284211,0.4819018816141316,0.4819018804153406,-1.6882074734988934,1.0,10,10
2class_fittedhet_lu,8,1,5,22,4,16.0,0.1904427355416769,0.012818098548930124,0.20326083409060702,0.2032608328572652,-1.7886215764197564,1.0,10,10
2class_fittedhet_lu,8,1,5,27,4,16.0,0.07941302525344685,0.0056903083472660265,0.08510333360071287,0.08510333234481988,-1.4854891235320216,0.9090909090909091,10,10
2class_fittedhet_lu,8,1,5,28,4,16.0,0.3362555186137728,0.001074513463814153,0.33733003207758694,0.3373300308818311,-2.4251123074260734,1.0,10,10
2class_fittedhet_lu,8,1,6,17,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-0.9658982683773302,1.0,10,10
2class_fittedhet_lu,8,1,6,21,4,16.0,0.4073206166781582,0.0,0.4073206166781582,0.4073206166777865,-2.7722908537259947,1.0,10,10
2class_fittedhet_lu,8,1,6,22,4,16.0,0.12911695843394422,0.0,0.12911695843394422,0.12911695842130164,-1.962385768408968,1.0,10,10
2class_fittedhet_lu,8,1,6,27,4,16.0,0.00518030275964243,0.0,0.00518030275964243,0.005180302746041955,-1.4260926640087508,1.0,10,10
2class_fittedhet_lu,8,1,6,28,4,16.0,0.2576332769107186,0.0,0.2576332769107186,0.25763327691011284,-2.410899606558581,1.0,10,10
2class_fittedhet_lu,8,1,17,21,4,16.0,0.4073206166781582,0.0,0.4073206166781582,0.4073206166777865,-2.756552379308205,1.0,10,10
2class_fittedhet_lu,8,1,17,22,4,16.0,0.12911695843394422,0.0,0.12911695843394422,0.12911695842130164,-1.7105510831664121,1.0,10,10
2class_fittedhet_lu,8,1,17,27,4,16.0,0.00518030275964243,0.0,0.00518030275964243,0.005180302746041955,-2.736814733740182,1.0,10,10
2class_fittedhet_lu,8,1,17,28,4,16.0,0.2576332769107186,0.0,0.2576332769107186,0.25763327691011284,-1.6968449168122977,1.0,10,10
2class_fittedhet_lu,8,1,21,22,4,16.0,0.5241270993679328,0.002605085952636532,0.5267321853205693,0.5267321840233291,-1.7992608921881446,1.0,10,11
2class_fittedhet_lu,8,1,21,27,4,16.0,0.4129732462549065,-4.322801688827482e-06,0.4129689234532177,0.412968922718663,-1.8547764043464254,1.0,10,10
2class_fittedhet_lu,8,1,21,28,4,16.0,0.560598231895614,0.04046497355251155,0.6010632054481255,0.6010632042863417,-0.8078518085201117,0.9090909090909091,10,10
2class_fittedhet_lu,8,1,22,27,4,16.0,0.132011718464509,0.0024318012206200335,0.13444351968512902,0.1344435184180858,-1.9989818412357878,1.0,10,10
2class_fittedhet_lu,8,1,22,28,4,16.0,0.3850586211883562,0.00217354980048734,0.38723217098884355,0.38723216976938035,-1.927956019669608,1.0,10,10
2class_fittedhet_lu,8,1,27,28,4,16.0,0.2620878444058983,0.0015643140820651436,0.2636521584879634,0.2636521572774179,-1.6370012577121593,1.0,10,10
2class_fittedhet_lu,8,2,1,4,4,16.0,0.0011836585152488338,0.0,0.0011836585152488338,0.0011836582122273867,-1.1164270657108546,1.0,10,10
2class_fittedhet_lu,8,2,1,6,4,16.0,0.0011836585152488338,0.0,0.0011836585152488338,0.0011836582122273867,-1.3048092925561285,1.0,10,10
2class_fittedhet_lu,8,2,1,9,4,16.0,0.4017895808708829,0.000260002585662944,0.40204958345654584,0.4020495819996223,-2.498281216207073,1.0,10,10
2class_fittedhet_lu,8,2,1,11,4,16.0,0.005186563073111383,-0.00017793917588226904,0.005008623897229114,0.005008623448381604,-1.5395591731201126,1.0,10,10
2class_fittedhet_lu,8,2,1,16,4,16.0,0.0011836585152488338,0.0,0.0011836585152488338,0.0011836582122273867,-1.074930378855397,1.0,10,10
2class_fittedhet_lu,8,2,1,23,4,16.0,0.005223616688329047,-0.00012634694841195948,0.005097269739917087,0.005097269136108274,-1.6418320778779147,1.0,10,10
2class_fittedhet_lu,8,2,1,26,4,16.0,0.008451608693500479,-0.0001104582673023824,0.008341150426198096,0.008341148600271834,-1.7969798696752244,1.0,10,10
2class_fittedhet_lu,8,2,4,6,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-1.5584490480375677,1.0,10,10
2class_fittedhet_lu,8,2,4,9,4,16.0,0.40055342309026587,0.0,0.40055342309026587,0.40055342309025227,-2.221479699589752,1.0,10,10
2class_fittedhet_lu,8,2,4,11,4,16.0,0.0036895502666682845,0.0,0.0036895502666682845,0.003689550265282224,-1.354401876191059,1.0,10,10
2class_fittedhet_lu,8,2,4,16,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-0.8813838845717263,1.0,10,10
2class_fittedhet_lu,8,2,4,23,4,16.0,0.0038416320106271495,0.0,0.0038416320106271495,0.0038416320088742297,-1.5142398095920047,1.0,10,10
2class_fittedhet_lu,8,2,4,26,4,16.0,0.007046556282479743,-2.220446049250313e-16,0.007046556282479521,0.00704655628166374,-2.114670106199799,1.0,10,10
2class_fittedhet_lu,8,2,6,9,4,16.0,0.40055342309026587,0.0,0.40055342309026587,0.40055342309025227,-2.1372242807577693,1.0,10,10
2class_fittedhet_lu,8,2,6,11,4,16.0,0.0036895502666682845,0.0,0.0036895502666682845,0.003689550265282224,-1.575828279606973,1.0,10,10
2class_fittedhet_lu,8,2,6,16,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-1.3224623783954643,1.0,10,10
2class_fittedhet_lu,8,2,6,23,4,16.0,0.0038416320106271495,0.0,0.0038416320106271495,0.0038416320088742297,-0.9326290510022829,1.0,10,10
2class_fittedhet_lu,8,2,6,26,4,16.0,0.007046556282479743,-2.220446049250313e-16,0.007046556282479521,0.00704655628166374,-1.727168229209783,1.0,10,10
2class_fittedhet_lu,8,2,9,11,4,16.0,0.40218082192495963,0.009490615522619095,0.4116714374475787,0.4116714362861593,-1.974849977489728,1.0,10,10
2class_fittedhet_lu,8,2,9,16,4,16.0,0.40055342309026565,2.220446049250313e-16,0.40055342309026587,0.40055342309025227,-2.0972203189777026,1.0,10,10
2class_fittedhet_lu,8,2,9,23,4,16.0,0.4019019540103721,0.00820213329779218,0.4101040873081643,0.4101040861524218,-2.5051059263859266,1.0,10,10
2class_fittedhet_lu,8,2,9,26,4,16.0,0.40535770839195395,0.005842879488159092,0.41120058788011304,0.41120058672204873,-2.1652219645000272,1.0,10,10
2class_fittedhet_lu,8,2,11,16,4,16.0,0.0036895502666682845,0.0,0.0036895502666682845,0.003689550265282224,-1.1022178918901184,1.0,10,10
2class_fittedhet_lu,8,2,11,23,4,16.0,0.008066972071002265,-5.337640172631275e-05,0.008013595669275952,0.008013594504958633,-1.1471430263666684,1.0,10,10
2class_fittedhet_lu,8,2,11,26,4,16.0,0.01074303935901244,0.0007107833881687675,0.011453822747181208,0.011453821584444739,-0.9108095631595586,0.8181818181818182,10,10
2class_fittedhet_lu,8,2,16,23,4,16.0,0.0038416320106271495,0.0,0.0038416320106271495,0.0038416320088742297,-1.4046180881771053,1.0,10,10
